"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"965","University of Phoenix (Phoenix, AZ)","","","",25874,4969,291,1634,2624,16356
"622","Pennsylvania State U, Main Campus","University Pk","Pennsylvania","16802",19454,649,16,1279,686,16824
"822","Texas A&M University Main Campus","College Station","Texas","77843",16379,351,75,1009,2375,12569
"886","University of Florida","Gainesville","Florida","32611",15164,1145,58,1632,2367,9962
"591","Ohio State University, Main Campus","Columbus","Ohio","43210",15056,683,41,1108,379,12845
"640","Purdue University, Main Campus","W Lafayette","Indiana","47907",14071,323,65,949,371,12363
"899","University of Illinois at Urbana-Champaign","Champaign","Illinois","61820",13680,544,31,2451,741,9913
"1016","University of Washington - Seattle","Seattle","Washington","98195",13599,447,132,4286,647,8087
"997","University of Texas at Austin","Austin","Texas","78712",12940,411,62,3401,2047,7019
"501","Michigan State University","East Lansing","Michigan","48824",12890,496,72,826,267,11229
"872","University of Central Florida","Orlando","Florida","32816",12687,1319,57,1081,2067,8163
"864","University of California-Davis","Davis","California","95616",12307,255,67,5928,1248,4809
"863","University of California-Berkeley","Berkeley","California","94720",12226,198,49,7306,956,3717
"561","North Carolina State University at Raleigh","Raleigh","North Carolina","27695",11921,744,56,840,318,9963
"21","Arizona State University Main","Tempe","Arizona","85287",11787,341,192,1177,1700,8377
"928","University of Minnesota - Twin Cities","Minneapolis","Minnesota","55455",11783,482,37,1219,221,9824
"868","University of California-San Diego","La Jolla","California","92093",11513,143,41,6853,1088,3388
"1021","University of Wisconsin-Madison","Madison","Wisconsin","53706",11314,175,48,790,264,10037
"923","University of Michigan at Ann Arbor","Ann Arbor","Michigan","48109",10793,366,26,1789,424,8188
"679","Rutgers the State Univ of NJ New Brunswick","New Brunswick","New Jersey","8903",10238,783,12,3372,783,5288
"1044","Virginia Polytechnic Institute and State Univ","Blacksburg","Virginia","24061",10127,330,24,1037,317,8419
"912","University of Maryland at College Park","College Park","Maryland","20742",10017,957,22,2214,520,6304
"865","University of California-Irvine","Irvine","California","92717",10012,195,32,6501,1036,2248
"866","University of California-Los Angeles","Los Angeles","California","90024",9984,196,33,5724,965,3066
"826","Texas Tech University","Lubbock","Texas","79409",9698,674,61,477,1428,7058
"307","Georgia Institute of Technology, Main Campus","Atlanta","Georgia","30332",9513,618,12,1873,566,6444
"95","Brigham Young University, Main Campus","Provo","Utah","84602",9125,21,35,234,358,8477
"983","University of South Florida","Tampa","Florida","33620",8919,935,33,1033,1374,5544
"996","University of Texas at Arlington","Arlington","Texas","76019",8655,1331,30,1223,1187,4884
"592","Ohio University, All Campuses","Athens","Ohio","45701",8280,401,34,82,123,7640
"375","Iowa State University","Ames","Iowa","50011",8278,137,27,268,214,7632
"858","University of Arizona","Tucson","Arizona","85721",8193,237,111,892,1322,5631
"287","Florida State University","Tallahassee","Florida","32306",7449,754,52,407,996,5240
"966","University of Pittsburgh Main Campus","Pittsburgh","Pennsylvania","15260",7330,360,7,465,95,6403
"875","University of Cincinnati, All Campuses","Cincinnati","Ohio","45221",7212,505,25,295,138,6249
"932","University of Missouri, Columbia","Columbia","Missouri","65211",7203,332,39,245,121,6466
"876","University of Colorado at Boulder","Boulder","Colorado","80309",7190,79,48,653,427,5983
"285","Florida International University","Miami","Florida","33199",6869,887,10,421,4651,900
"35","Auburn University, Main Campus","Auburn Univ","Alabama","36849",6863,424,42,147,102,6148
"879","University of Connecticut (Storrs, CT)","","","",6817,306,25,938,357,5191
"161","Clemson University","Clemson","South Carolina","29634",6674,414,27,170,111,5952
"916","University of Massachusetts at Amherst","Amherst","Massachusetts","1003",6638,282,15,744,293,5304
"788","SUNY at Stony Brook, All Campuses","Stony Brook","New York","11794",6591,677,13,2546,578,2777
"247","Drexel University","Philadelphia","Pennsylvania","19104",6576,628,12,1013,272,4651
"193","Colorado State University","Fort Collins","Colorado","80523",6504,66,48,172,387,5831
"1071","West Virginia University","Morgantown","West Virginia","26506",6344,106,22,155,93,5968
"606","Oregon State University","Corvallis","Oregon","97331",6342,47,78,599,251,5367
"887","University of Georgia","Athens","Georgia","30602",6272,403,11,771,186,4901
"1013","University of Utah","Salt Lake City","Utah","84112",6272,58,39,400,272,5503
"108","California State Polytechnic U-San Luis Obispo","Sn Luis Obispo","California","93407",6219,59,53,898,713,4496
"1056","Washington State University (Pullman, WA)","","","",6179,102,77,440,302,5258
"210","Cornell University, All Campuses","Ithaca","New York","14853",6132,273,24,1468,424,3943
"897","University of Illinois at Chicago","Chicago","Illinois","60680",6042,361,13,1995,649,3024
"252","East Carolina University","Greenville","North Carolina","27858",6035,783,53,206,134,4859
"895","University of Houston","Houston","Texas","77004",6013,723,20,1870,1354,2046
"667","Rochester Institute of Technology","Rochester","New York","14623",5880,201,32,368,194,5085
"993","University of Tennessee at Knoxville","Knoxville","Tennessee","37996",5815,376,14,209,98,5118
"364","Indiana University at Bloomington","Bloomington","Indiana","47405",5813,244,13,392,156,5008
"724","Southern Illinois University-Carbondale","Carbondale","Illinois","62901",5765,708,23,175,271,4588
"321","Grand Valley State University","Allendale","Michigan","49401",5567,167,28,174,158,5040
"320","Grand Canyon University","Phoenix","Arizona","85017",5563,654,40,1154,514,3201
"448","Louisiana State Univ & Agric & Mechanical Col","Baton Rouge","Louisiana","70803",5555,390,21,334,199,4611
"363","Indiana University-Purdue Univ at Indianapolis","Indianapolis","Indiana","46202",5519,417,11,255,150,4686
"116","California State University-Long Beach","Long Beach","California","90840",5506,200,149,2256,1135,1766
"950","University of North Carolina at Chapel Hill","Chapel Hill","North Carolina","27599",5480,413,30,667,319,4051
"406","Kansas State University","Manhattan","Kansas","66506",5474,84,23,76,223,5068
"786","SUNY at Buffalo","Buffalo","New York","14260",5352,293,25,727,239,4068
"870","University of California-Santa Cruz","Santa Cruz","California","95064",5230,109,53,1377,755,2936
"571","Northern Illinois University","Dekalb","Illinois","60115",5212,415,7,434,365,3991
"881","University of Delaware","Newark","Delaware","19716",5172,245,8,304,231,4384
"869","University of California-Santa Barbara","Santa Barbara","California","93106",5139,79,27,1098,777,3158
"1015","University of Virginia, Main Campus","Charlottesville","Virginia","22903",5135,308,9,984,187,3647
"411","Kent State University, All Campuses","Kent","Ohio","44242",5125,283,22,148,78,4594
"995","University of Texas - Pan American","Edinburg","Texas","78539",5121,30,2,94,4723,272
"598","Oklahoma State University, All Campuses","Stillwater","Oklahoma","74078",5108,125,420,109,164,4290
"813","Temple University","Philadelphia","Pennsylvania","19122",5043,813,30,1080,171,2949
"980","University of South Carolina at Columbia","Columbia","South Carolina","29208",5037,597,12,263,144,4021
"1043","Virginia Commonwealth University","Richmond","Virginia","23284",4969,774,20,1005,188,2982
"109","California State Polytechnic University Pomona","Pomona","California","91768",4943,157,26,1652,1400,1708
"599","Old Dominion University","Norfolk","Virginia","23529",4927,956,22,333,218,3398
"1011","University of Toledo","Toledo","Ohio","43606",4923,275,4,180,129,4335
"944","University of New Hampshire","Durham","New Hampshire","3824",4911,51,9,135,104,4612
"902","University of Kansas, Main Campus","Lawrence","Kansas","66045",4909,135,30,343,195,4206
"901","University of Iowa","Iowa City","Iowa","52242",4858,78,10,265,132,4373
"569","Northeastern University","Boston","Massachusetts","2115",4856,255,21,597,221,3762
"688","San Diego State University (San Diego, CA)","","","",4851,176,39,1260,1079,2297
"283","Florida Atlantic University","Boca Raton","Florida","33431",4824,1168,17,380,912,2347
"690","San Jose State University","San Jose","California","95192",4815,166,21,2404,736,1488
"951","University of North Carolina at Charlotte","Charlotte","North Carolina","28223",4815,550,26,311,211,3717
"570","Northern Arizona University","Flagstaff","Arizona","86011",4809,100,227,143,658,3681
"903","University of Kentucky","Lexington","Kentucky","40506",4796,198,7,167,56,4368
"735","Southwest Texas State University","San Marcos","Texas","78666",4779,252,31,152,1065,3279
"857","University of Alabama","Tuscaloosa","Alabama","35487",4777,451,26,67,103,4130
"1022","University of Wisconsin-Milwaukee","Milwaukee","Wisconsin","53201",4734,167,18,275,163,4111
"655","Rensselaer Polytechnic Institute","Troy","New York","12180",4677,119,12,532,281,3733
"938","University of Nebraska at Lincoln","Lincoln","Nebraska","68588",4646,52,14,177,136,4267
"716","South Dakota State University","Brookings","South Dakota","57007",4607,22,40,33,26,4486
"303","George Mason University","Fairfax","Virginia","22030",4540,474,18,1388,406,2254
"999","University of Texas at El Paso","El Paso","Texas","79968",4477,119,12,100,3709,537
"834","Towson State University","Towson","Maryland","21204",4457,681,18,267,144,3347
"1014","University of Vermont","Burlington","Vermont","5405",4448,49,14,118,113,4154
"357","Illinois State University","Normal","Illinois","61761",4435,160,12,88,149,4026
"854","University of Akron, All Campuses","Akron","Ohio","44325",4405,180,8,200,51,3966
"1001","University of Texas at San Antonio","San Antonio","Texas","78285",4344,291,16,386,1972,1679
"984","University of Southern California (CA)","","","",4306,154,2,1565,593,1992
"395","James Madison University","Harrisonburg","Virginia","22807",4293,161,13,335,105,3679
"1079","Western Michigan University","Kalamazoo","Michigan","49008",4252,206,19,106,127,3794
"867","University of California-Riverside","Riverside","California","92521",4250,238,12,2149,889,962
"934","University of Missouri, Rolla","Rolla","Missouri","65401",4202,194,26,113,86,3783
"400","Johns Hopkins University","Baltimore","Maryland","21218",4169,267,18,1182,317,2385
"913","University of Maryland Baltimore County","Baltimore","Maryland","21228",4139,687,13,1146,128,2165
"502","Michigan Technological University","Houghton","Michigan","49931",4130,47,25,54,63,3941
"84","Boston University","Boston","Massachusetts","2215",4128,149,17,1085,323,2554
"661","Ricks College","Rexburg","Idaho","83460",4096,16,18,62,135,3865
"111","California State University-Chico","Chico","California","95929",4064,56,48,338,522,3100
"586","Oakland University","Rochester Hills","Michigan","48309",4061,248,18,260,56,3479
"942","University of Nevada-Reno","Reno","Nevada","89557",4059,59,25,394,351,3230
"119","California State University-Sacramento","Sacramento","California","95819",4002,179,29,1153,584,2057
"515","Mississippi State University","Miss State","Mississippi","39762",3953,320,7,75,57,3494
"113","California State University-Fresno","Fresno","California","93740",3949,134,34,791,1155,1835
"956","University of North Florida","Jacksonville","Florida","32216",3924,400,13,355,264,2892
"370","Indiana Wesleyan University","Marion","Indiana","46953",3908,405,13,46,63,3381
"946","University of New Mexico, All Campuses","Albuquerque","New Mexico","87131",3875,89,163,244,1406,1973
"970","University of Rhode Island","Kingston","Rhode Island","2881",3843,143,15,132,150,3403
"964","University of Pennsylvania (Philadelphia, PA)","","","",3825,261,16,1160,204,2184
"962","University of Oklahoma, Norman Campus","Norman","Oklahoma","73019",3796,180,230,445,119,2822
"56","Baylor University","Waco","Texas","76798",3794,308,8,447,525,2506
"861","University of Arkansas, Main Campus","Fayetteville","Arkansas","72701",3789,142,79,166,131,3271
"500","Miami University, All Campuses","Oxford","Ohio","45056",3786,99,21,181,78,3407
"483","Massachusetts Institute of Technology","Cambridge","Massachusetts","2139",3777,304,42,1174,518,1739
"143","Central Michigan University","Mt Pleasant","Michigan","48859",3744,104,27,54,77,3482
"281","Ferris State University","Big Rapids","Michigan","49307",3734,129,22,82,58,3443
"523","Montana State University - Bozeman","Bozeman","Montana","59717",3663,13,66,46,58,3480
"785","SUNY at Binghamton","Binghamton","New York","13902",3631,194,7,692,197,2541
"828","Texas Woman's University","Denton","Texas","76204",3604,591,23,485,583,1922
"563","North Dakota State University, All Campuses","Fargo","North Dakota","58105",3581,34,25,55,19,3448
"957","University of North TX","Denton","Texas","76203",3581,523,16,290,455,2297
"855","University of Alabama at Birmingham","Birmingham","Alabama","35294",3580,796,12,261,68,2443
"114","California State University-Fullerton","Fullerton","California","92634",3544,119,10,1236,947,1232
"689","San Francisco State University","San Francisco","California","94132",3517,215,20,1519,555,1208
"536","Mount St Clare College","Clinton","Iowa","52732",3487,1125,30,111,263,1958
"922","University of Miami","Coral Gables","Florida","33124",3478,326,7,376,1131,1638
"1078","Western Kentucky University","Bowling Green","Kentucky","42101",3429,114,9,48,39,3219
"255","East Tennessee State University","Johnson City","Tennessee","37614",3411,109,4,95,77,3126
"1034","Utah State University","Logan","Utah","84322",3385,33,23,84,238,3007
"308","Georgia Southern University","Statesboro","Georgia","30460",3367,729,6,59,92,2481
"915","University of Maryland University College","College Park","Maryland","20742",3362,889,12,280,224,1957
"725","Southern Illinois University at Edwardsville","Edwardsville","Illinois","62026",3340,196,9,86,79,2970
"118","California State University-Northridge","Northridge","California","91330",3332,192,8,860,759,1513
"1112","Wright State University, All Campuses","Dayton","Ohio","45435",3236,253,16,152,73,2742
"977","University of South Alabama","Mobile","Alabama","36688",3224,412,26,181,89,2516
"634","Portland State University","Portland","Oregon","97207",3202,87,47,361,182,2525
"1106","Winston-Salem State University","Winston-Salem","North Carolina","27110",3196,1587,27,53,52,1477
"919","University of Massachusetts Lowell","Lowell","Massachusetts","1854",3175,193,2,381,197,2402
"998","University of Texas at Dallas","Richardson","Texas","75083",3174,197,10,939,338,1690
"908","University of Maine","Orono","Maine","4469",3166,22,39,57,40,3008
"1031","University of Wyoming","Laramie","Wyoming","82071",3145,22,16,42,101,2964
"905","University of Louisville","Louisville","Kentucky","40292",3135,160,6,171,68,2730
"961","University of Oklahoma Health Sciences Center","Oklahoma City","Oklahoma","73190",3113,113,215,233,144,2408
"761","St Louis University, Main Campus","Saint Louis","Missouri","63103",3104,139,4,287,88,2586
"1084","Western Washington University","Bellingham","Washington","98225",3102,33,49,193,135,2692
"549","New Jersey Institute Technology","Newark","New Jersey","7102",3092,282,15,847,635,1313
"410","Kennesaw State University","Marietta","Georgia","30061",3076,462,17,197,140,2260
"551","New Mexico State University, All Campuses","Las Cruces","New Mexico","88003",3060,58,119,84,1324,1475
"988","University of Southern Mississippi (MS)","","","",3060,611,5,56,50,2338
"504","Middle Tennessee State University","Murfreesboro","Tennessee","37132",3057,266,5,133,86,2567
"941","University of Nevada-Las Vegas","Las Vegas","Nevada","89154",3028,207,25,782,456,1558
"249","Duke University","Durham","North Carolina","27706",3023,164,15,996,149,1699
"1018","University of Wisconsin-Eau Claire","Eau Claire","Wisconsin","54701",3010,14,16,73,34,2873
"192","Colorado School of Mines","Golden","Colorado","80401",2996,40,22,184,209,2541
"1059","Wayne State University","Detroit","Michigan","48202",2996,348,8,466,61,2113
"82","Boise State University","Boise","Idaho","83725",2995,40,34,116,149,2656
"310","Georgia State University","Atlanta","Georgia","30303",2993,994,9,691,171,1128
"1110","Worcester Polytechnic Institute","Worcester","Massachusetts","1609",2989,81,13,217,179,2499
"952","University of North Carolina at Greensboro","Greensboro","North Carolina","27412",2978,691,14,167,104,2002
"474","Marquette University","Milwaukee","Wisconsin","53233",2964,63,9,157,143,2592
"926","University of Minnesota - Duluth","Duluth","Minnesota","55812",2916,28,13,72,25,2778
"960","University of Notre Dame","Notre Dame","Indiana","46556",2907,49,6,225,221,2406
"1042","Villanova University","Villanova","Pennsylvania","19085",2893,106,2,238,131,2416
"954","University of North Carolina at Wilmington","Wilmington","North Carolina","28403",2886,100,26,58,109,2593
"891","University of Hawaii at Manoa","Honolulu","Hawaii","96822",2867,24,9,2074,133,627
"1061","Weber State University","Ogden","Utah","84408",2853,32,18,82,96,2625
"199","Columbia University in the City of New York","New York","New York","10027",2846,204,9,759,344,1530
"1025","University of Wisconsin-Platteville","Platteville","Wisconsin","53818",2831,11,8,32,25,2755
"131","Carnegie Mellon University","Pittsburgh","Pennsylvania","15213",2829,124,14,964,181,1546
"584","Nova Southeastern University","Ft Lauderdale","Florida","33314",2808,562,9,257,862,1118
"1020","University of Wisconsin-La Crosse","La Crosse","Wisconsin","54601",2808,14,10,61,31,2692
"850","United States Naval Academy","Annapolis","Maryland","21402",2805,110,16,125,295,2259
"815","Tennessee Technological University","Cookeville","Tennessee","38505",2782,59,9,47,51,2616
"1027","University of Wisconsin-Stevens Point","Stevens Point","Wisconsin","54481",2780,8,14,58,23,2677
"261","Eastern Michigan University","Ypsilanti","Michigan","48197",2774,362,10,95,62,2245
"553","New York University","New York","New York","10012",2773,158,5,815,253,1542
"856","University of Alabama in Huntsville","Huntsville","Alabama","35899",2758,304,50,97,59,2248
"775","Stanford University (Stanford, CA)","","","",2748,167,18,888,403,1272
"468","Mankato State University","Mankato","Minnesota","56001",2747,116,6,65,50,2510
"989","University of Southwestern Louisiana","Lafayette","Louisiana","70504",2747,261,7,86,53,2340
"811","Syracuse University, Main Campus","Syracuse","New York","13210",2700,269,29,384,202,1816
"972","University of Rochester","Rochester","New York","14627",2700,104,9,442,121,2024
"455","Loyola University of Chicago","Chicago","Illinois","60611",2695,84,5,604,209,1793
"19","Appalachian State University","Boone","North Carolina","28608",2601,63,15,46,53,2424
"734","Southwest Missouri State University","Springfield","Missouri","65804",2595,46,22,54,42,2431
"986","University of Southern Indiana","Evansville","Indiana","47712",2540,48,5,24,23,2440
"1067","West Chester University of Pennsylvania","West Chester","Pennsylvania","19383",2536,192,10,95,59,2180
"49","Ball State University","Muncie","Indiana","47306",2535,60,5,18,57,2395
"581","Northwestern Univ","Evanston","Illinois","60201",2529,74,1,809,137,1508
"163","Cleveland State University","Cleveland","Ohio","44115",2527,247,6,145,66,2063
"86","Bowling Green State Univ, All Campuses","Bowling Green","Ohio","43403",2521,186,13,19,71,2232
"1094","Wichita State University","Wichita","Kansas","67208",2507,114,30,278,132,1953
"654","Regis University","Denver","Colorado","80221",2499,117,15,119,212,2036
"540","Murray State University","Murray","Kentucky","42071",2497,86,8,21,21,2361
"676","Rowan College of New Jersey","Glassboro","New Jersey","8028",2495,122,8,101,146,2118
"955","University of North Dakota, All Campuses","Grand Forks","North Dakota","58202",2491,38,76,25,27,2325
"134","Case Western Reserve University","Cleveland","Ohio","44106",2443,99,3,509,51,1781
"498","Metropolitan State College of Denver","Denver","Colorado","80217",2443,127,27,145,266,1878
"921","University of Memphis","Memphis","Tennessee","38152",2435,584,5,140,62,1644
"778","Stephen F Austin State University","Nacogdoches","Texas","75962",2434,385,14,40,212,1783
"917","University of Massachusetts at Boston","Boston","Massachusetts","2125",2427,432,8,305,165,1517
"931","University of Mississippi, Main Campus","University","Mississippi","38677",2415,297,5,78,29,2006
"266","ECPI College of Technology","Virginia Beach","Virginia","23462",2410,695,19,114,123,1459
"878","University of Colorado at Denver","Denver","Colorado","80204",2407,122,18,339,226,1702
"896","University of Idaho","Moscow","Idaho","83843",2389,5,18,41,87,2238
"820","Texas A&M University Corpus Christi","Corpus Chrsti","Texas","78412",2363,110,13,121,851,1268
"963","University of Oregon","Eugene","Oregon","97403",2362,23,22,219,91,2007
"238","DeVry Institute of Tech (Oakbrook Terr, IL)","Oakbrook Terr","Illinois","60181",2319,293,17,172,328,1509
"846","United States Air Force Academy","Colorado Spring","Colorado","80840",2303,61,21,165,155,1901
"117","California State University-Los Angeles","Los Angeles","California","90032",2301,164,2,906,820,409
"1002","University of Texas at Tyler","Tyler","Texas","75701",2290,198,14,76,171,1831
"1074","Western Carolina University","Cullowhee","North Carolina","28723",2289,78,29,33,43,2106
"264","Eastern Washington University","Cheney","Washington","99004",2284,53,35,137,189,1870
"211","Creighton University","Omaha","Nebraska","68178",2264,40,13,272,52,1887
"1017","University of West Florida","Pensacola","Florida","32514",2264,180,18,154,123,1789
"431","Lehigh University","Bethlehem","Pennsylvania","18015",2255,60,1,197,102,1895
"660","Richard Stockton College of New Jersey","Pomona","New Jersey","8240",2247,97,6,210,109,1825
"273","Emory University","Atlanta","Georgia","30322",2246,295,8,718,89,1136
"644","Quinnipiac College","Hamden","Connecticut","6518",2239,58,7,94,119,1961
"1117","Youngstown State University","Youngstown","Ohio","44555",2232,114,9,95,48,1966
"115","California State University-Hayward","Hayward","California","94542",2220,203,12,998,354,653
"871","University of Central Arkansas","Conway","Arkansas","72032",2219,287,18,77,56,1781
"1105","Winona State University","Winona","Minnesota","55987",2219,63,8,52,27,2069
"46","Baker College of Flint","Flint","Michigan","48507",2217,221,15,50,47,1884
"22","Arkansas State University, All Campuses","State Univ","Arkansas","72467",2195,194,6,24,32,1939
"880","University of Dayton","Dayton","Ohio","45469",2191,56,3,41,35,2056
"215","CUNY Hunter College","New York","New York","10021",2186,299,4,655,235,993
"772","St Petersburg Junior College","St Petersburg","Florida","33733",2177,238,10,73,138,1718
"259","Eastern Kentucky University","Richmond","Kentucky","40475",2172,53,2,22,21,2074
"958","University of Northern Colorado (Greeley, CO)","","","",2169,50,17,77,167,1858
"214","CUNY City College","New York","New York","10031",2166,506,5,686,440,529
"229","Deaconess College of Nursing","St. Louis","Missouri","?????",2166,356,10,75,74,1651
"1023","University of Wisconsin-Oshkosh","Oshkosh","Wisconsin","54901",2158,17,17,81,28,2015
"849","United States Military Academy","West Point","New York","10996",2153,97,17,147,183,1709
"159","Clarkson University","Potsdam","New York","13676",2149,38,10,63,50,1988
"436","Liberty University","Lynchburg","Virginia","24506",2138,186,11,50,80,1811
"24","Armstrong Atlantic State University","Savannah","Georgia","31419",2131,510,4,81,93,1443
"685","Sam Houston State University","Huntsville","Texas","77341",2120,196,18,43,218,1645
"940","University of Nebraska Medical Center","Omaha","Nebraska","68198",2106,21,14,49,72,1950
"933","University of Missouri, Kansas City","Kansas City","Missouri","64110",2099,176,13,221,101,1588
"482","Massachusetts College of Phar & Allied Hlth Sci","Boston","Massachusetts","2115",2095,116,7,540,75,1357
