"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"559","North Carolina Agricultural & Tech State Univ","Greensboro","North Carolina","27411",2092,1808,6,46,43,189
"652","Regents College, Univ of the State of New York","Albany","New York","12203",2092,237,9,82,115,1649
"120","California State University-San Bernardino","Sn Bernardino","California","92407",2078,194,11,395,723,755
"605","Oregon Institute of Technology","Klamath Falls","Oregon","97601",2073,25,27,156,103,1762
"354","Idaho State University","Pocatello","Idaho","83201",2066,18,22,53,87,1886
"572","Northern Kentucky University","Highland Hts","Kentucky","41076",2060,84,5,37,22,1912
"992","University of Tennessee at Chattanooga","Chattanooga","Tennessee","37403",2047,175,7,86,19,1760
"684","Salisbury State University","Salisbury","Maryland","21801",2042,198,7,71,47,1719
"821","Texas A&M University Kingsville","Kingsville","Texas","78363",2037,63,7,15,1313,639
"883","University of Detroit Mercy","Detroit","Michigan","48221",2027,254,29,117,67,1560
"754","St John's University (Jamaica, NY)","Jamaica","New York","11439",2019,351,4,552,304,808
"812","Tarleton State University","Stephenville","Texas","76402",2008,114,21,28,88,1757
"336","Harvard University","Cambridge","Massachusetts","2138",1993,157,12,644,156,1024
"1004","University of Texas Hlth Sci Ctr San Antonio","San Antonio","Texas","78284",1993,113,6,189,762,923
"831","Thomas Jefferson University","Philadelphia","Pennsylvania","19107",1987,174,3,270,68,1472
"97","Brown University","Providence","Rhode Island","2912",1962,89,6,483,162,1222
"451","Louisiana Tech University","Ruston","Louisiana","71272",1954,218,12,20,17,1687
"635","Prairie View A&M University","Prairie View","Texas","77446",1943,1497,2,201,164,79
"144","Central Missouri State University","Warrensburg","Missouri","64093",1936,119,7,28,25,1757
"729","Southern Polytechnic State University","Marietta","Georgia","30060",1935,419,5,141,102,1268
"1039","Vanderbilt University","Nashville","Tennessee","37240",1928,126,8,257,110,1427
"146","Central Washington University","Ellensburg","Washington","98926",1924,36,19,80,149,1640
"88","Bradley University","Peoria","Illinois","61625",1922,62,4,79,74,1703
"83","Boston College","Chestnut Hill","Massachusetts","2167",1921,62,6,278,139,1436
"967","University of Portland","Portland","Oregon","97203",1921,30,17,254,89,1531
"675","Rose-Hulman Institute of Technology","Terre Haute","Indiana","47803",1912,30,4,83,39,1756
"250","Duquesne University","Pittsburgh","Pennsylvania","15282",1905,49,1,35,29,1791
"789","SUNY College at Brockport","Brockport","New York","14420",1900,121,5,41,48,1685
"1035","Utah Valley State College","Orem","Utah","84058",1895,9,20,39,94,1733
"718","Southeastern Louisiana University","Hammond","Louisiana","70402",1894,188,6,25,47,1628
"877","University of Colorado at Colorado Springs","Colorado Spg","Colorado","80933",1851,49,18,136,172,1476
"80","Bloomsburg University of Pennsylvania","Bloomsburg","Pennsylvania","17815",1848,36,2,26,38,1746
"873","University of Central Oklahoma","Edmond","Oklahoma","73034",1843,172,88,130,93,1360
"748","St Cloud State University","Saint Cloud","Minnesota","56301",1832,88,7,48,29,1660
"1026","University of Wisconsin-River Falls","River Falls","Wisconsin","54022",1826,11,4,39,8,1764
"508","Midwestern State University","Wichita Falls","Texas","76308",1823,316,19,144,160,1184
"394","Jacksonville University","Jacksonville","Florida","32211",1818,258,17,79,94,1370
"823","Texas Christian University","Fort Worth","Texas","76129",1817,74,7,95,183,1458
"271","Embry-Riddle Aeronautical University (FL)","","","",1814,76,14,151,154,1419
"183","College of St Scholastica","Duluth","Minnesota","55811",1809,19,18,25,19,1728
"1076","Western Illinois University","Macomb","Illinois","61455",1808,94,5,20,56,1633
"3","Adelphi University","Garden City","New York","11530",1807,381,2,265,134,1025
"784","SUNY at Albany","Albany","New York","12222",1799,200,2,204,134,1259
"659","Rice University","Houston","Texas","77251",1787,115,6,522,235,909
"566","Northeast Louisiana University","Monroe","Louisiana","71209",1783,319,6,70,29,1359
"573","Northern Michigan University","Marquette","Michigan","49855",1781,11,31,21,13,1705
"959","University of Northern Iowa","Cedar Falls","Iowa","50614",1780,23,4,24,21,1708
"935","University of Missouri, St Louis","Saint Louis","Missouri","63121",1770,228,5,93,35,1409
"423","Lamar University-Beaumont","Beaumont","Texas","77710",1758,344,11,119,154,1130
"681","Saginaw Valley State University","Univ Ctr","Michigan","48710",1749,61,7,26,33,1622
"304","George Washington University","Washington","District of Columbia","20052",1743,192,9,346,112,1084
"361","Indiana State University","Terre Haute","Indiana","47809",1743,125,3,34,27,1554
"925","University of Michigan at Flint","Flint","Michigan","48503",1733,120,14,53,48,1498
"981","University of South Carolina at Spartanburg","Spartanburg","South Carolina","29303",1733,333,6,45,73,1276
"1069","West Texas A&M University","Canyon","Texas","79016",1729,69,20,56,240,1344
"487","McNeese State University","Lake Charles","Louisiana","70609",1726,228,14,36,24,1424
"859","University of Arkansas at Little Rock","Little Rock","Arkansas","72204",1725,402,14,66,39,1204
"841","Truman State University","Kirksville","Missouri","63501",1715,52,12,59,40,1552
"639","Purdue University, Calumet Campus","Hammond","Indiana","46323",1712,152,7,67,225,1261
"618","Pennsylvania College of Technology","Williamsport","Pennsylvania","17701",1706,31,4,29,32,1610
"918","University of Massachusetts at Dartmouth","N Dartmouth","Massachusetts","2747",1701,77,4,61,46,1513
"352","Humboldt State University","Arcata","California","95521",1700,16,32,72,198,1382
"512","Milwaukee School of Engineering","Milwaukee","Wisconsin","53201",1697,23,10,42,47,1575
"258","Eastern Illinois University","Charleston","Illinois","61920",1668,117,2,34,42,1473
"443","Long Island University Brooklyn Campus","Brooklyn","New York","11201",1664,570,5,387,178,524
"777","State University of West Georgia","Carrollton","Georgia","30118",1647,411,3,47,48,1138
"442","Loma Linda University","Loma Linda","California","92350",1636,77,8,467,347,737
"782","Strayer College","Washington","District of Columbia","20036",1636,578,9,164,91,794
"730","Southern University A&M Col at Baton Rouge","Baton Rouge","Louisiana","70813",1635,1522,1,13,10,89
"61","Bellevue University","Bellevue","Nebraska","68005",1632,209,6,66,67,1284
"172","College of Charleston","Charleston","South Carolina","29424",1624,60,6,65,38,1455
"911","University of Maryland at Baltimore","Baltimore","Maryland","21201",1615,384,8,227,70,926
"509","Millersville University of Pennsylvania","Millersville","Pennsylvania","17551",1613,40,5,35,53,1480
"578","Northwest State University","Natchitoches","Louisiana","71497",1611,352,21,27,45,1166
"680","Rutgers the State Univ of NJ Newark Campus","Newark","New Jersey","7102",1610,279,6,547,239,539
"475","Marshall University","Huntington","West Virginia","25755",1608,57,7,22,20,1502
"519","Molloy College","Rockville Ctr","New York","11570",1606,340,5,162,155,944
"1028","University of Wisconsin-Stout","Menomonie","Wisconsin","54751",1604,18,9,27,11,1539
"987","University of Southern Maine","Portland","Maine","4103",1593,32,17,31,26,1487
"1005","University of Texas Medical Branch at Galveston","Galveston","Texas","77550",1588,239,4,232,238,875
"368","Indiana University of PA, All Campuses","Indiana","Pennsylvania","15705",1575,59,6,26,23,1461
"710","Slippery Rock University of Pennsylvania","Slippery Rock","Pennsylvania","16057",1570,61,2,12,19,1476
"418","La Salle University","Philadelphia","Pennsylvania","19141",1554,364,4,110,82,994
"840","Troy State University, Main Campus","Troy","Alabama","36082",1552,347,16,35,41,1113
"627","Pittsburg State University","Pittsburg","Kansas","66762",1549,23,33,21,36,1436
"924","University of Michigan at Dearborn","Dearborn","Michigan","48124",1549,78,8,173,49,1241
"124","California University of Pennsylvania","California","Pennsylvania","15419",1548,55,2,5,16,1470
"401","Johnson and Wales University","Providence","Rhode Island","2903",1542,230,6,63,188,1055
"637","Princeton University","Princeton","New Jersey","8544",1540,113,11,426,123,867
"936","University of Montana","Missoula","Montana","59812",1535,4,32,20,45,1434
"393","Jacksonville State University","Jacksonville","Alabama","36265",1526,273,14,15,14,1210
"860","University of Arkansas for Medical Sciences","Little Rock","Arkansas","72205",1523,146,14,33,43,1287
"645","Radford University","Radford","Virginia","24142",1520,82,3,38,23,1374
"843","Tulane University","New Orleans","Louisiana","70118",1516,108,12,168,62,1166
"833","Touro College (New York, NY)","New York","New York","10001",1514,51,1,147,70,1245
"112","California State University-Dominguez Hills","Carson","California","90747",1513,238,9,352,425,489
"311","GMI Engineering and Management Institute","Flint","Michigan","48504",1513,57,7,72,37,1340
"408","Kean College of New Jersey","Union","New Jersey","7083",1513,273,6,240,248,746
"160","Clayton State College","Morrow","Georgia","30260",1498,873,3,145,63,414
"698","Seattle University","Seattle","Washington","98122",1488,54,17,401,94,922
"687","Samuel Merritt College","Oakland","California","94609",1482,72,11,463,149,787
"829","The College of New Jersey","Trenton","New Jersey","8625",1482,73,1,203,116,1089
"23","Arkansas Tech University","Russellville","Arkansas","72801",1479,51,20,24,32,1352
"216","CUNY New York City Technical College","Brooklyn","New York","11201",1476,611,2,308,284,271
"351","Howard University","Washington","District of Columbia","20059",1470,1426,1,28,9,6
"450","Louisiana State Univ Medical Center","New Orleans","Louisiana","70112",1464,149,2,101,60,1152
"717","Southeast Missouri State University","Cpe Girardeau","Missouri","63701",1462,72,3,13,9,1365
"1003","University of Texas Hlth Sci Ctr Houston","Houston","Texas","77225",1460,154,8,233,235,830
"493","Mercer University","Macon","Georgia","31207",1442,345,4,138,56,899
"625","Philadelphia College of Pharmacy and Science","Philadelphia","Pennsylvania","19104",1439,77,4,573,30,755
"141","Central Connecticut State University","New Britain","Connecticut","6050",1435,106,6,89,85,1149
"619","Pennsylvania State U at Erie-Behrend College","Erie","Pennsylvania","16563",1417,20,2,28,16,1351
"842","Tufts University","Medford","Massachusetts","2155",1417,44,4,253,64,1052
"100","Bucknell University","Lewisburg","Pennsylvania","17837",1414,18,1,89,47,1259
"800","SUNY College of Environmental Sci & Forestry","Syracuse","New York","13210",1414,13,11,43,52,1295
"164","Coastal Carolina University","Conway","South Carolina","29526",1413,177,3,18,40,1175
"377","Ithaca College","Ithaca","New York","14850",1413,28,4,66,50,1265
"339","Hawaii Pacific University","Honolulu","Hawaii","96813",1412,32,11,782,163,424
"683","Salem State College","Salem","Massachusetts","1970",1408,213,3,51,80,1061
"994","University of Tennessee at Martin","Martin","Tennessee","38238",1407,71,3,14,12,1307
"604","Oregon Health Sciences University","Portland","Oregon","97201",1405,14,14,59,53,1265
"42","Austin Peay State University","Clarksville","Tennessee","37044",1401,114,12,47,78,1150
"228","De Paul University","Chicago","Illinois","60604",1401,89,3,186,184,939
"1037","Valdosta State University","Valdosta","Georgia","31698",1401,295,3,31,38,1034
"359","Immaculata College","Immaculata","Pennsylvania","19345",1397,229,5,34,16,1113
"305","Georgetown University","Washington","District of Columbia","20057",1395,69,2,152,66,1106
"814","Tennessee State University","Nashville","Tennessee","37209",1393,1033,4,47,30,279
"362","Indiana University-Purdue Univ at Fort Wayne","Fort Wayne","Indiana","46805",1392,48,4,56,32,1252
"526","Montclair State University","Upr Montclair","New Jersey","7043",1392,174,3,208,351,656
"976","University of Scranton","Scranton","Pennsylvania","18510",1392,21,2,46,66,1257
"852","University of AK Anchorage, All Campuses","Anchorage","Alaska","99508",1385,39,86,121,54,1085
"528","Morehead State University","Morehead","Kentucky","40351",1377,17,2,14,19,1325
"939","University of Nebraska at Omaha","Omaha","Nebraska","68182",1376,57,2,63,56,1198
"974","University of San Francisco","San Francisco","California","94117",1368,65,8,518,185,592
"45","Azusa Pacific University","Azusa","California","91702",1354,103,11,302,198,740
"51","Barry University","Miami","Florida","33161",1354,402,4,43,619,286
"723","Southern Connecticut State University","New Haven","Connecticut","6515",1345,160,5,66,76,1038
"254","East Stroudsburg University of Pennsylvania","E Stroudsburg","Pennsylvania","18301",1336,51,4,41,71,1169
"568","Northeastern State University","Tahlequah","Oklahoma","74464",1336,60,348,32,44,852
"787","SUNY at Farmingdale","Farmingdale","New York","11735",1329,208,4,161,206,750
"522","Monroe College","Bronx","New York","10468",1328,782,2,20,497,27
"224","Dartmouth College","Hanover","New Hampshire","3755",1326,66,33,261,60,906
"889","University of Hartford","West Hartford","Connecticut","6117",1323,169,4,65,81,1004
"920","University of Medicine and Dentistry of New Jersey","Newark","New Jersey","7103",1313,260,1,216,151,685
"543","National University (San Diego, CA)","","","",1312,102,7,288,180,735
"1064","Wentworth Inst of Tech","Boston","Massachusetts","2115",1305,70,2,119,49,1065
"300","Gannon University","Erie","Pennsylvania","16541",1301,26,3,20,15,1237
"646","Ramapo College of New Jersey","Mahwah","New Jersey","7430",1300,69,1,123,109,998
"225","Davenport College","Grand Rapids","Michigan","49503",1297,224,2,54,43,974
"314","Gonzaga University","Spokane","Washington","99258",1296,10,12,83,64,1127
"770","St Olaf College","Northfield","Minnesota","55057",1283,14,3,62,14,1190
"527","Moorhead State University","Moorhead","Minnesota","56560",1273,32,7,24,23,1187
"611","Pace University New York Campus","New York","New York","10038",1268,207,5,163,138,755
"760","St Leo College","Saint Leo","Florida","33574",1263,449,6,36,113,659
"356","Illinois Institute of Technology","Chicago","Illinois","60616",1262,58,10,257,97,840
"601","Olivet Nazarene University","Kankakee","Illinois","60901",1255,153,3,49,55,995
"943","University of New England","Biddeford","Maine","4005",1254,9,5,21,10,1209
"480","Maryville University of St Louis","Saint Louis","Missouri","63141",1252,69,3,20,16,1144
"930","University of Mississippi Medical Center","Jackson","Mississippi","39216",1236,249,7,26,12,942
"415","King College","Bristol","Tennessee","37620",1233,22,9,6,14,1182
"726","Southern Methodist University","Dallas","Texas","75275",1227,47,10,140,121,909
"1101","William Paterson College","Wayne","New Jersey","7470",1227,147,1,201,209,669
"556","Nicholls State University","Thibodaux","Louisiana","70310",1223,128,20,12,20,1043
"234","DeVry Institute of Tech (Cty of Industry, CA)","Cty Of Industry","California","91744",1220,72,3,377,310,458
"200","Columbus State University","Columbus","Georgia","31993",1219,437,7,37,65,673
"289","Fort Hays State University","Hays","Kansas","67601",1219,15,4,12,46,1142
"990","University of St Thomas (Saint Paul, MN)","Saint Paul","Minnesota","55105",1218,38,3,57,39,1081
"284","Florida Institute of Technology (Melbourne, FL)","","","",1216,37,4,55,105,1015
"1038","Valparaiso University","Valparaiso","Indiana","46383",1214,39,2,24,40,1109
"1111","Worcester State College","Worcester","Massachusetts","1602",1210,110,4,65,46,985
"371","Inter American U of PR Metropolitan Campus","Hato Rey","Puerto Rico","919",1205,6,2,3,1183,11
"306","Georgia College and State University","Milledgeville","Georgia","31061",1187,81,4,20,22,1060
"157","Clarion University of PA, All Campuses","Clarion","Pennsylvania","16214",1177,31,1,11,8,1126
"530","Mount Carmel College of Nursing","Columbus","Ohio","43222",1167,63,1,29,23,1051
"5","Alabama Agricultural and Mechanical University","Normal","Alabama","35762",1165,1125,1,3,6,30
"217","CUNY York College","Jamaica","New York","11451",1161,642,3,230,137,149
"499","Metropolitan State University","Saint Paul","Minnesota","55101",1158,196,6,117,51,788
"18","Angelo State University","San Angelo","Texas","76901",1157,58,5,22,172,900
"75","Bethel College and Seminary, All Campuses","Saint Paul","Minnesota","55112",1155,108,1,19,11,1016
"121","California State University-San Marcos","San Marcos","California","92096",1154,27,11,283,220,613
"985","University of Southern Colorado","Pueblo","Colorado","81001",1152,51,14,49,240,798
"1115","Yale University","New Haven","Connecticut","6520",1151,83,3,328,97,640
"632","Polytechnic University","Brooklyn","New York","11201",1150,142,2,470,139,397
"1041","Villa Julie College","Stevenson","Maryland","21153",1150,211,2,54,24,859
"705","Siena Heights College","Adrian","Michigan","49221",1148,106,12,28,36,966
"793","SUNY College at Geneseo","Geneseo","New York","14454",1148,13,1,81,21,1032
"874","University of Chicago","Chicago","Illinois","60637",1138,52,1,271,110,704
"699","Seton Hall University","South Orange","New Jersey","7079",1136,196,2,188,122,628
"825","Texas Southern University","Houston","Texas","77004",1135,966,1,99,52,17
"1095","Widener University, All Campuses","Chester","Pennsylvania","19013",1134,143,4,46,31,910
"1008","University of the Pacific","Stockton","California","95211",1130,18,3,597,139,373
"435","Lewis University","Romeoville","Illinois","60441",1129,85,2,82,107,853
"392","Jackson State University","Jackson","Mississippi","39217",1128,1048,1,3,8,68
"516","Mississippi University for Women","Columbus","Mississippi","39701",1126,286,2,6,7,825
"64","Belmont University","Nashville","Tennessee","37212",1124,44,4,36,26,1014
"1116","York College Pennsylvania","York","Pennsylvania","17403",1119,15,2,23,18,1061
"806","SUNY Institute of Technology at Utica/Rome","Utica","New York","13504",1118,86,3,35,25,969
"1012","University of Tulsa","Tulsa","Oklahoma","74104",1114,50,48,53,59,904
"186","College of West Virginia","Beckley","West Virginia","25802",1113,164,7,9,16,917
"494","Mercy College (Dobbs Ferry, NY)","","","",1109,286,4,134,220,465
"1007","University of the Incarnate Word","San Antonio","Texas","78209",1103,76,3,61,679,284
"125","Calvin College","Grand Rapids","Michigan","49506",1099,6,1,31,18,1043
"170","College Misericordia","Dallas","Pennsylvania","18612",1095,14,4,8,10,1059
"715","South Dakota School of Mines & Technology","Rapid City","South Dakota","57701",1089,6,23,15,16,1029
"557","Norfolk State University","Norfolk","Virginia","23504",1076,950,4,31,25,66
"230","Delaware Valley College","Doylestown","Pennsylvania","18901",1073,17,3,4,22,1027
"791","SUNY College at Cortland","Cortland","New York","13045",1073,33,6,16,49,969
"590","Ohio Northern University","Ada","Ohio","45810",1063,24,1,9,15,1014
"948","University of North Alabama","Florence","Alabama","35632",1055,89,17,9,15,925
"712","Sonoma State University","Rohnert Park","California","94928",1053,21,8,70,103,851
"179","College of St Catherine","Saint Paul","Minnesota","55105",1038,86,5,116,24,807
"181","College of St Francis","Joliet","Illinois","60435",1035,77,3,61,64,830
"529","Morgan State University","Baltimore","Maryland","21239",1031,920,3,54,25,29
"495","Mesa State College","Grand Junction","Colorado","81502",1030,6,11,21,77,915
"797","SUNY College at Plattsburgh","Plattsburgh","New York","12901",1023,57,5,35,34,892
"774","St Xavier University","Chicago","Illinois","60655",1022,162,6,65,122,667
"1054","Washburn University of Topeka","Topeka","Kansas","66621",1019,54,10,20,44,891
"1047","Wake Forest University","Winston-Salem","North Carolina","27109",1017,74,6,82,35,820
"947","University of New Orleans","New Orleans","Louisiana","70148",1016,121,2,125,91,677
"331","Hampton University","Hampton","Virginia","23668",1015,899,3,25,22,66
"691","Santa Clara University","Santa Clara","California","95053",1015,27,5,276,179,528
"668","Rockhurst College","Kansas City","Missouri","64110",1012,49,9,47,39,868
"346","Hofstra University","Hempstead","New York","11550",1006,100,3,74,91,738
"66","Bemidji State University","Bemidji","Minnesota","56601",1003,15,12,7,14,955
"155","Christopher Newport University","Newport News","Virginia","23606",1002,62,7,37,29,867
"85","Bowie State University","Bowie","Maryland","20715",1001,915,4,32,16,34
"737","Southwestern Oklahoma State University","Weatherford","Oklahoma","73096",997,60,46,33,43,815
"334","Harding University, All Campuses","Searcy","Arkansas","72143",996,26,2,12,23,933
"617","Parker College of Chiropractic","Dallas","Texas","75229",996,51,9,71,92,773
"296","Franklin University","Columbus","Ohio","43215",995,133,4,28,18,812
"1045","Viterbo College","La Crosse","Wisconsin","54601",994,17,4,17,11,945
"133","Carroll College (Waukesha, WI)","Waukesha","Wisconsin","53186",991,6,1,16,28,940
"138","Cedarville College","Cedarville","Ohio","45314",989,8,2,17,22,940
"949","University of North Carolina at Asheville","Asheville","North Carolina","28804",987,24,4,13,23,923
"122","California State University-Stanislaus","Turlock","California","95380",984,22,9,217,226,510
"9","Allegheny College","Meadville","Pennsylvania","16335",981,15,2,31,17,916
"732","Southern Utah University","Cedar City","Utah","84720",975,7,11,15,25,917
"350","Hope College","Holland","Michigan","49423",974,16,3,14,12,929
"397","Jersey City State College","Jersey City","New Jersey","7305",973,233,2,164,228,346
"187","College of William and Mary","Williamsburg","Virginia","23185",972,40,7,108,62,755
"219","D'Youville College","Buffalo","New York","14201",971,96,11,38,35,791
"982","University of South Dakota","Vermillion","South Dakota","57069",969,10,2,16,9,932
"885","University of Findlay","Findlay","Ohio","45840",968,11,2,5,15,935
"419","Lafayette College","Easton","Pennsylvania","18042",966,31,2,47,52,834
"845","Union University","Jackson","Tennessee","38305",955,129,2,15,7,802
"1019","University of Wisconsin-Green Bay","Green Bay","Wisconsin","54311",951,10,10,24,10,897
"60","Bellarmine College","Louisville","Kentucky","40205",949,26,4,26,29,864
"441","Logan College of Chiropractic","Chesterfield","Missouri","63006",948,29,2,20,17,880
"514","Mississippi College","Clinton","Mississippi","39058",945,184,5,28,9,719
"416","Kutztown University of Pennsylvania","Kutztown","Pennsylvania","19530",941,33,1,19,34,854
"552","New York Institute of Technology, Main Campus","Old Westbury","New York","11568",932,111,2,418,84,317
"890","University of Hawaii at Hilo","Hilo","Hawaii","96720",932,7,8,444,75,398
"491","Medical College of Georgia","Augusta","Georgia","30912",931,136,1,58,30,706
"1030","University of Wisconsin-Whitewater","Whitewater","Wisconsin","53190",927,17,4,10,21,875
"755","St John Fisher College","Rochester","New York","14618",910,36,4,26,18,826
"101","Butler University","Indianapolis","Indiana","46208",907,27,3,37,13,827
"795","SUNY College at Oneonta","Oneonta","New York","13820",903,25,2,17,40,819
"326","Gustavus Adolphus College","Saint Peter","Minnesota","56082",900,14,3,50,5,828
"1036","Utica College of Syracuse University","Utica","New York","13502",896,105,2,29,31,729
"292","Francis Marion University","Florence","South Carolina","29501",889,306,6,12,9,556
"518","Missouri Western State College","Saint Joseph","Missouri","64507",889,33,7,8,15,826
"479","Marymount University","Arlington","Virginia","22207",876,158,4,104,92,518
"567","Northeastern Illinois University","Chicago","Illinois","60625",874,51,5,211,136,471
"892","University of Houston-Clear Lake","Houston","Texas","77058",872,78,4,132,182,476
"657","Rhode Island College","Providence","Rhode Island","2908",871,93,2,29,37,710
"804","SUNY Health Science Center at Brooklyn","Brooklyn","New York","11203",871,333,1,108,56,373
"68","Benedictine University","Lisle","Illinois","60532",867,64,3,287,49,464
"817","Texas A&M University-Commerce","Commerce","Texas","75429",866,93,9,25,79,660
"1060","Waynesburg College","Waynesburg","Pennsylvania","15370",859,16,1,3,4,835
"110","California State University-Bakersfield","Bakersfield","California","93311",855,35,7,196,287,330
"1082","Western Oregon State College","Monmouth","Oregon","97361",853,17,11,33,62,730
"12","Alverno College","Milwaukee","Wisconsin","53215",850,67,7,48,78,650
